RUN,TR,CU,FNAM,PDAT,HWAH,w
508,17,3,ZASP0001,1990288,4377,0.1
509,17,3,ZASP0001,1991288,5533,0.1
510,17,3,ZASP0001,1992288,5292,0.1
511,17,3,ZASP0001,1993288,5064,0.1
512,17,3,ZASP0001,1994288,2689,0.1
513,17,3,ZASP0001,1995288,4109,0.1
514,17,3,ZASP0001,1996288,4887,0.1
515,17,3,ZASP0001,1997288,5071,0.1
516,17,3,ZASP0001,1998288,4847,0.1
517,17,3,ZASP0001,1999288,4862,0.1
518,17,3,ZASP0001,2000288,5003,0.1
519,17,3,ZASP0001,2001288,4891,0.1
520,17,3,ZASP0001,2002288,3193,0.1
521,17,3,ZASP0001,2003288,4990,0.1
522,17,3,ZASP0001,2004288,4618,0.1
523,17,3,ZASP0001,2005288,5276,0.1
524,17,3,ZASP0001,2006288,5467,0.1
525,17,3,ZASP0001,2007288,5271,0.1
526,17,3,ZASP0001,2008288,4956,0.1
527,17,3,ZASP0001,2009288,5192,0.1
528,18,3,ZASP0001,1979303,6113,0.1
529,18,3,ZASP0001,1980303,6081,0.1
530,18,3,ZASP0001,1981303,5364,0.1
531,18,3,ZASP0001,1982303,5950,0.1
532,18,3,ZASP0001,1983303,4150,0.1
533,18,3,ZASP0001,1984303,5154,0.1
534,18,3,ZASP0001,1985303,5197,0.1
535,18,3,ZASP0001,1986303,5917,0.1
536,18,3,ZASP0001,1987303,5343,0.1
537,18,3,ZASP0001,1988303,5446,0.1
538,18,3,ZASP0001,1989303,4938,0.1
539,18,3,ZASP0001,1990303,5223,0.1
540,18,3,ZASP0001,1991303,6194,0.1
541,18,3,ZASP0001,1992303,5904,0.1
542,18,3,ZASP0001,1993303,5623,0.1
543,18,3,ZASP0001,1994303,4174,0.1
544,18,3,ZASP0001,1995303,5295,0.1
545,18,3,ZASP0001,1996303,5523,0.1
546,18,3,ZASP0001,1997303,5832,0.1
547,18,3,ZASP0001,1998303,5285,0.1
548,18,3,ZASP0001,1999303,5427,0.1
549,18,3,ZASP0001,2000303,5229,0.1
550,18,3,ZASP0001,2001303,5468,0.1
551,18,3,ZASP0001,2002303,5197,0.1
552,18,3,ZASP0001,2003303,5497,0.1
553,18,3,ZASP0001,2004303,5376,0.1
554,18,3,ZASP0001,2005303,5540,0.1
555,18,3,ZASP0001,2006303,5880,0.1
556,18,3,ZASP0001,2007303,5388,0.1
557,18,3,ZASP0001,2008303,5779,0.1
558,18,3,ZASP0001,2009303,5860,0.1
559,19,3,ZASP0001,1979318,5944,0.1
560,19,3,ZASP0001,1980318,5700,0.1
561,19,3,ZASP0001,1981318,5546,0.1
562,19,3,ZASP0001,1982318,5420,0.1
563,19,3,ZASP0001,1983318,5995,0.1
564,19,3,ZASP0001,1984318,5553,0.1
565,19,3,ZASP0001,1985318,5705,0.1
566,19,3,ZASP0001,1986318,5796,0.1
567,19,3,ZASP0001,1987318,5345,0.1
568,19,3,ZASP0001,1988318,5527,0.1
569,19,3,ZASP0001,1989318,5527,0.1
570,19,3,ZASP0001,1990318,5561,0.1
571,19,3,ZASP0001,1991318,6142,0.1
572,19,3,ZASP0001,1992318,5321,0.1
573,19,3,ZASP0001,1993318,5694,0.1
574,19,3,ZASP0001,1994318,5433,0.1
575,19,3,ZASP0001,1995318,5460,0.1
576,19,3,ZASP0001,1996318,5462,0.1
